Taxa	PC1	PC2	PC3	PC4	PC5
C573	-7.7716913	-2.1261437	3.7885368	0.4961242	-0.81038064
C574	-6.772656	-1.5924968	2.7512245	1.0725687	-1.6486943
C575	-7.8866577	-2.535821	3.4712024	1.046352	-1.4580691
C576	-6.832167	-1.3455421	2.6190977	0.7575232	-1.5855056
C577	-5.779497	-1.0517864	2.5772521	0.9712827	-1.9808931
C578	-5.875832	-0.95036936	2.2159073	1.7540555	-2.56379
C579	-7.2592497	-1.725655	3.2497966	0.77521706	-1.5144134
C580	-8.532181	-2.954044	4.2121587	0.082685485	-0.31855565
C581	-8.967742	-2.4775984	4.604598	0.2056818	-0.67073846
C584	-6.664352	-1.1899683	2.746527	1.0048506	-0.96121603
C585	-9.042927	-2.630491	4.6407146	0.44598538	-0.53681284
C586	-4.9370255	-0.6351649	1.814102	1.4466563	-2.8496706
C587	-6.6377788	-1.3046478	2.8418615	0.8589066	-1.8835357
C588	-4.120257	0.084351085	1.0066723	2.0639193	-3.3560183
C591	-9.152365	-2.7102935	4.8666754	0.7119457	-0.84701335
C593	-6.89372	-1.8157829	2.8577926	1.2103205	-1.51258
C594	-5.983123	-1.3430456	1.6708277	1.2695446	-0.17880267
C595	-6.458406	-1.5790758	2.555252	0.47619125	-1.866809
C596	-4.088682	-0.123827726	1.3610773	1.7467324	-3.3819234
C602	-7.7414837	-1.9606363	3.0527744	0.90160036	-1.1311799
C603	-4.4942346	-0.12500589	1.8776622	2.4177601	-2.4376998
C605	-5.7807426	-0.2329874	1.7772698	2.1950421	-1.9449402
C606	-7.1226	-1.4581869	3.3382993	0.3232405	-1.6462471
C607	-6.129398	-0.9854349	1.1745386	1.499476	-1.2498735
C608	-8.455249	-2.9906693	4.197066	0.20635551	-0.31795877
C609	-9.554323	-2.9213479	4.6248293	0.6862598	0.211082
C616	-2.0172446	0.8828757	-1.2505116	3.377645	-1.5379432
C622	-2.1975749	-0.44437444	-1.1463971	3.4563031	0.11917866
C623	0.18522152	0.6780751	-3.2702482	3.4897308	1.0390391
C625	-2.527924	-0.1742251	-1.8227953	2.6687524	1.175557
C626	-0.92711425	0.329637	-2.6027305	2.891811	0.24443588
C627	-1.3527441	0.9992932	-2.5978553	3.3709166	-0.012405626
C628	0.029227547	0.9310381	-2.4310732	4.7181425	-1.1284038
C630	-1.5045598	-0.18723416	-1.8945646	3.1901836	0.7451521
C631	0.82084185	0.99337703	-3.129714	4.9025536	-1.1949787
C632	-0.61136043	0.4562335	-2.621198	3.8446581	0.1337223
C633	-1.5151342	-0.5312067	-2.3157337	3.08313	2.1032822
C635	0.4017872	0.5006883	-3.731681	2.227926	-0.30569413
C637	0.5934583	0.9358433	-3.421666	4.0206885	0.66351026
C638	-7.4146495	-2.3655386	2.408888	-0.9464472	-1.2729088
C640	-6.450639	-1.9854163	1.803198	-0.56396073	-0.049314044
C641	-6.1903977	-1.9473226	1.4397773	-0.67244774	0.09807218
C642	-5.3146195	-0.91989213	1.1294138	-0.11319015	-1.2821997
C643	-4.8643336	-1.4761832	0.40013844	0.022657052	0.3380083
C645	-7.258766	-2.518724	2.2031496	-1.330322	-0.42150125
C646	-5.157975	-1.1414413	0.6071576	0.28082788	0.6709705
C647	-4.528747	-1.0226885	-0.07804447	0.079520434	0.7880443
C648	-5.279455	-1.3526318	0.06118215	0.64333093	2.6322477
C650	-5.2526107	-0.8765508	0.96764475	0.4188791	-0.047112953
C651	-5.6512885	-1.6575056	0.47779587	-0.3368585	1.5558343
C652	-5.943344	-1.60472	0.9135967	-0.5032119	1.5882804
C653	-5.1822615	-1.0849131	1.2760769	0.06024804	-1.4112488
C655	-7.530961	-2.3487866	2.440458	-0.8224967	-0.6754769
C656	-8.01915	-2.8229733	2.3795934	-0.9103057	-0.56272966
C657	-6.4743066	-1.9264024	1.2672772	-0.36279112	1.236436
C658	-4.1278586	-0.9267577	0.26825884	0.8561093	0.81561226
C660	-5.3119154	-0.9024948	1.2430168	0.28504974	-1.2296699
C661	-7.3179655	-2.202436	1.8389189	-1.1107688	0.016120793
C662	-6.873581	-1.9280437	1.7086258	-1.0245407	-0.8763641
C663	-7.7340927	-3.0357597	2.2653406	-1.199261	0.4061523
C665	-9.235645	-3.7136247	3.408058	-1.5899132	-0.08471929
C666	-3.9064794	-1.206332	-1.0660785	0.49672428	3.4942796
C667	-4.397383	-1.2640716	-0.5548721	-0.16313142	2.5950694
C669	-7.976895	-2.3816552	2.8495996	-1.0331535	1.1642773
C670	-8.9998665	-3.6399214	2.8363948	-1.9033294	-0.46787354
C671	-7.4869394	-2.4239094	2.2399187	-0.6315633	1.7383956
C672	-5.5677414	-1.5537424	0.046478953	0.23367779	3.4716918
C690	-8.18892	-3.1047878	2.2607596	-1.8008235	0.3440918
C691	-6.100453	-2.238124	0.8419978	-0.3142334	2.7817354
C692	-7.27692	-2.3753817	2.2161167	-0.05535329	2.502648
C694	-4.3703	-1.7589314	-0.78636366	0.060297806	3.0757449
C706	-6.267934	-2.373191	0.1003767	-0.5871459	2.8296003
C707	-7.2188773	-2.1612968	1.6853793	0.30849496	2.6760201
C709	-5.9979506	-1.8487643	0.55148953	0.23600022	3.5404832
C711	-5.2716684	-2.0268185	-0.7735939	-0.34660742	3.3770673
C713	-2.9517996	-1.238022	-1.7426096	0.6772187	4.596269
C714	-5.2010107	-1.6881423	-0.3634646	0.5017567	4.0604963
C715	-1.9125991	-1.3316587	-4.088328	-1.5855396	1.9373713
C716	-3.0903044	-1.7598943	-3.404587	-2.027412	2.3849716
C718	-2.8982491	-1.401553	-3.1050963	-1.5889351	2.2566214
C720	-2.0195312	-0.73547775	-2.744855	0.63714045	4.376919
C721	-1.8138554	-0.6152427	-3.1180553	1.2667046	5.502997
C722	-1.7039788	-0.91203314	-2.6897912	0.75768113	4.177301
