Taxa	PC1	PC2	PC3	PC4	PC5
866	5.6274285	0.76043254	-0.47144866	0.27938548	-0.19163243
867	2.9403067	2.7630777	-1.169625	0.5981208	-0.47594723
869	5.540346	0.70897514	-0.6380216	0.048351906	0.03047455
870	-8.774568	10.971165	-1.3547635	0.64819396	0.6311307
871	6.3138595	-0.20179623	-0.9364662	-1.145209	-0.02192194
872	5.7351832	-0.32585198	-1.0535079	-1.7428292	1.1986859
873	4.562575	1.1157554	-0.61465234	-0.3052826	-0.4192182
875	3.3438947	2.367169	-1.2296872	0.9285043	-1.0864632
876	-6.122305	9.878271	-1.5710499	1.1124095	0.071021944
877	4.972432	1.5349693	-1.1333923	-0.3897743	-0.16120735
878	-12.94892	14.705356	-2.0283823	1.8916429	-0.23784058
879	4.801861	0.29350394	-0.8100988	-1.1539971	0.6036096
880	5.9640117	-0.51110405	-0.7017962	-1.3533146	0.6920373
881	5.3790736	0.8293451	-0.50541127	-0.3360905	-0.33737448
882	2.0272064	3.2013385	-1.2512882	-0.48414874	-0.26024136
883	4.277782	1.4763821	-0.8657985	-0.46016368	-0.027132688
884	3.5418596	1.6640939	-1.0515125	0.27901942	-0.2602424
885	3.996503	1.4451389	-0.85726434	-0.24985315	0.18980566
886	2.3966227	3.0315902	-0.9269841	0.34724414	-0.83163625
887	-9.387385	11.211213	-1.6885092	1.6014643	-0.08283579
888	7.8399544	-0.8593929	-0.4608962	0.43374848	-0.1021183
889	4.5243726	0.9134759	-0.9026165	0.06884919	-0.40897083
890	5.8370566	0.012501989	-0.82534295	-0.24793231	-0.2920921
891	1.8339219	3.4940443	-1.1669792	0.67723525	-1.0838137
892	-2.9468577	7.6094537	-1.5820397	0.7534306	0.19700433
893	6.2632823	0.11125933	-0.79748595	-0.24032314	0.43608096
894	6.980125	-0.13606082	-0.6209719	-0.39737195	0.71994483
895	6.2608275	-0.36854202	-0.62427425	-1.2079486	1.2241632
897	4.7727227	1.0330766	-0.7665327	0.518384	-0.8805109
898	4.2250533	1.6498498	-0.8611689	0.9095628	-0.93992454
899	5.577583	0.8239789	-1.0028461	-0.14583038	-0.436091
900	-1.6442009	6.069617	-1.1395105	1.7050751	-0.8169649
901	6.1335783	-0.01480192	-1.170743	-1.671537	0.73041165
902	7.295353	-0.48245242	-0.99032074	-0.70781726	0.45306674
905	-8.559604	11.869028	-1.7110953	1.8221507	-0.3627839
910	7.9665065	-1.0970078	-0.40255406	0.9584359	-0.16136752
911	2.542317	2.5167274	-0.54577976	-0.6449318	0.65062153
912	7.6089177	-0.49432418	-0.7583084	-0.104597084	0.23725323
913	5.747523	0.470857	-0.7761274	-0.46195558	-0.209639
914	4.605573	1.7152327	-0.55674964	0.3809273	-0.286842
916	1.3203481	3.5903652	-0.5868683	1.6520348	-1.3105303
918	5.5111694	-0.014383034	-0.6254953	-0.9421583	0.38471368
919	6.464222	0.017114509	-0.5692038	-1.1568674	0.41366032
920	7.3341513	-0.76368785	-0.77844393	-0.99346644	0.54720753
922	5.0419345	1.1380984	-0.83392036	0.22526133	-0.06894887
923	4.058398	1.9745083	-1.3394961	-0.4303846	0.023548858
924	4.800259	1.230881	-0.62304217	0.49214122	-0.14255732
926	-3.0274005	6.276867	-1.5230032	0.024754943	-0.97381663
927	-3.6140807	7.6470623	-1.5826881	1.4267361	-1.7280928
928	6.3685613	0.078892164	-0.9171912	-1.3346735	0.6576052
929	3.9543076	1.717058	-0.87969023	1.1784123	-1.3326281
930	4.0553684	1.5958498	-1.0167167	-0.677762	0.21410795
931	1.8597207	3.7919996	-1.41362	0.55983704	-1.3922724
933	6.7403545	0.2380297	-0.3302325	0.26852438	0.10458693
937	4.9915195	1.2202194	-0.7764786	0.31235108	-0.5973521
939	5.5175147	0.561514	-1.0020673	-0.30600765	-0.17080566
940	4.66379	0.70558274	-0.7994285	-1.0349188	1.1942996
941	-6.3142567	8.644711	-1.9899311	0.20051685	0.5933723
942	0.6235912	3.9826572	-0.64689815	0.9414565	0.6737467
944	-8.511382	9.415663	-1.4428151	0.036154114	0.9202756
946	6.222316	0.36401388	-0.78533924	0.3856744	-0.49860808
947	4.0428843	1.2608753	-0.82549506	0.11075019	0.16933253
949	2.8107195	2.4068453	-1.2164142	-1.379593	0.700127
951	3.6272397	1.5688528	-1.1184391	-1.2041236	1.2913375
952	-3.5494606	7.6648183	-1.0996988	0.75274444	0.5754971
953	0.3782109	4.781191	-1.4189234	0.25553086	-0.63649404
954	3.2585719	2.2435334	-0.86370724	0.8518188	-0.36715332
955	3.705117	1.9523562	-1.1866337	0.3773683	-0.65704995
956	7.554741	-0.8474387	-0.4081139	0.35824054	-0.12269461
957	-5.368714	8.669957	-1.2208619	1.6020323	0.28149357
958	7.2729135	-0.72765976	-0.33262214	4.9354363E-4	0.21533868
959	7.270251	-0.51023346	-0.71234936	-0.25415003	0.46659872
960	1.025097	3.4783273	-0.9879175	-1.1138633	1.6786513
