PC	eigenvalue	proportion of total	cumulative proportion
479	0.05252	3.647E-4	0.95916
480	0.0521	3.6176E-4	0.95952
481	0.05193	3.6062E-4	0.95988
482	0.05183	3.5987E-4	0.96024
483	0.05176	3.5939E-4	0.9606
484	0.05134	3.5649E-4	0.96096
485	0.05083	3.5293E-4	0.96131
486	0.05067	3.5183E-4	0.96166
487	0.05051	3.5071E-4	0.96201
488	0.05016	3.4827E-4	0.96236
489	0.04977	3.4562E-4	0.96271
490	0.04972	3.4526E-4	0.96305
491	0.04926	3.4203E-4	0.96339
492	0.04916	3.4135E-4	0.96373
493	0.04905	3.4057E-4	0.96407
494	0.04865	3.3785E-4	0.96441
495	0.04853	3.3701E-4	0.96475
496	0.04802	3.3348E-4	0.96508
497	0.04787	3.3239E-4	0.96542
498	0.04754	3.3009E-4	0.96575
499	0.04751	3.2988E-4	0.96608
500	0.0474	3.2917E-4	0.9664
501	0.047	3.2636E-4	0.96673
502	0.04676	3.2471E-4	0.96706
503	0.04672	3.2443E-4	0.96738
504	0.04633	3.2168E-4	0.9677
505	0.04611	3.2021E-4	0.96802
506	0.04597	3.1919E-4	0.96834
507	0.04555	3.1626E-4	0.96866
508	0.04536	3.1498E-4	0.96897
509	0.04502	3.1262E-4	0.96928
510	0.04494	3.1203E-4	0.9696
511	0.04467	3.1021E-4	0.96991
512	0.04425	3.0728E-4	0.97021
513	0.04415	3.0656E-4	0.97052
514	0.04401	3.0557E-4	0.97083
515	0.04386	3.0457E-4	0.97113
516	0.04366	3.032E-4	0.97143
517	0.04361	3.0282E-4	0.97174
518	0.04324	3.0026E-4	0.97204
519	0.04303	2.9881E-4	0.97234
520	0.04288	2.9778E-4	0.97263
521	0.04274	2.9677E-4	0.97293
522	0.0425	2.9509E-4	0.97323
523	0.04238	2.9427E-4	0.97352
524	0.04225	2.9337E-4	0.97381
525	0.04197	2.9142E-4	0.9741
526	0.0417	2.8954E-4	0.97439
527	0.04143	2.8767E-4	0.97468
528	0.04121	2.8614E-4	0.97497
529	0.04099	2.8459E-4	0.97525
530	0.04075	2.8299E-4	0.97554
531	0.04066	2.8236E-4	0.97582
532	0.04049	2.8114E-4	0.9761
533	0.04045	2.8086E-4	0.97638
534	0.04013	2.7869E-4	0.97666
535	0.03995	2.7737E-4	0.97694
536	0.03972	2.7583E-4	0.97721
537	0.0395	2.7425E-4	0.97749
538	0.0394	2.7361E-4	0.97776
539	0.03903	2.7103E-4	0.97803
540	0.03878	2.6925E-4	0.9783
541	0.03864	2.6832E-4	0.97857
542	0.03848	2.672E-4	0.97884
543	0.03818	2.6509E-4	0.9791
544	0.03806	2.6425E-4	0.97936
545	0.03789	2.6312E-4	0.97963
546	0.03761	2.6115E-4	0.97989
547	0.03751	2.6049E-4	0.98015
548	0.0372	2.5833E-4	0.98041
549	0.03711	2.577E-4	0.98067
550	0.03704	2.5723E-4	0.98092
